Country_Name,Code
Argentina,ARG
Australia,AUS
Austria,AUT
Azerbaijan,AZE
Belgium,BEL
Brazil,BRA
Bulgaria,BGR
Cameroon,CMR
Chile,CHL
China,CHN
Colombia,COL
Croatia,HRV
Cyprus,CYP
Czech Republic,CZE
Denmark,DNK
Ecuador,ECU
Egypt,EGY
England,GBR
Faroe Islands,FRO
Finland,FIN
France,FRA
Germany,DEU
Greece,GRC
Guatemala,GTM
Hong Kong,HKG
Hungary,HUN
Iceland,ISL
India,IND
Iran,IRN
Israel,ISR
Italy,ITA
Japan,JPN
Jordan,JOR
Kazakhstan,KAZ
Kenya,KEN
Kuwait,KWT
Lithuania,LTU
Luxembourg,LUX
FYR Macedonia,MKD
Mexico,MEX
Morocco,MAR
Netherlands,NLD
Northern Ireland,GBR
Norway,NOR
Paraguay,PRY
Poland,POL
Portugal,PRT
Rep. Ireland,GBR
Romania,ROU
Russia,RUS
Scotland,GBR
Serbia,SRB
Slovakia,SVK
Slovenia,SVN
South Africa,ZAF
South Korea,KOR
Spain,ESP
Sweden,SWE
Switzerland,CHE
Thailand,THA
Turkey,TUR
Ukraine,UKR
USA,USA
Uzbekistan,UZB
Vietnam,VNM